Abbreviation,Species,TAC Zone,Level,Year,Sea,Agreed TAC,Amendment/Original,Amendment check,Pre-uplift/post-deduction,Uplift/deduction %,Post-uplift/pre-deduction,Notes,2021 Source
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2005,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2005,Deep Sea,20,Original,Final,20,,20,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2005,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2005,Deep Sea,214,Original,Final,214,,214,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2005,Deep Sea,74,Original,Final,74,,74,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2005,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2005,Deep Sea,328,Original,Final,328,,328,Calculated based on 100% EU share,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2006,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2006,Deep Sea,20,Original,Final,20,,20,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2006,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2006,Deep Sea,214,Original,Final,214,,214,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2006,Deep Sea,74,Original,Final,74,,74,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2006,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2006,Deep Sea,328,Original,Final,328,,328,Calculated based on 100% EU share,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2007,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2007,Deep Sea,20,Original,Final,20,,20,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2007,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2007,Deep Sea,214,Original,Final,214,,214,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2007,Deep Sea,74,Original,Final,74,,74,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2007,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2007,Deep Sea,328,Original,Final,328,,328,Calculated based on 100% EU share,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2008,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2008,Deep Sea,20,Original,Final,20,,20,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2008,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2008,Deep Sea,214,Original,Final,214,,214,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2008,Deep Sea,74,Original,Final,74,,74,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2008,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2008,Deep Sea,328,Original,Final,328,,328,Calculated based on 100% EU share,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2009,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2009,Deep Sea,20,Original,Final,20,,20,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2009,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2009,Deep Sea,214,Original,Final,214,,214,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2009,Deep Sea,74,Original,Final,74,,74,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2009,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2009,Deep Sea,328,Original,Final,328,,328,Calculated based on 100% EU share,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2010,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2010,Deep Sea,20,Original,Final,20,,20,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2010,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2010,Deep Sea,214,Original,Final,214,,214,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2010,Deep Sea,74,Original,Final,74,,74,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2010,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2010,Deep Sea,328,Original,Final,328,,328,Calculated based on 100% EU share,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2011,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2011,Deep Sea,20,Original,Final,20,,20,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2011,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2011,Deep Sea,214,Original,Final,214,,214,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2011,Deep Sea,74,Original,Final,74,,74,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2011,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2011,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2011,Deep Sea,328,Original,Final,328,,328,Calculated based on 100% EU share,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2012,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2012,Deep Sea,20,Original,Final,20,,20,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2012,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2012,Deep Sea,214,Original,Final,214,,214,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2012,Deep Sea,74,Original,Final,74,,74,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2012,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2012,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2013,Deep Sea,312,Original,Final,312,,312,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2013,Deep Sea,19,Original,Final,19,,19,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2013,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2013,Deep Sea,203,Original,Final,203,,203,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2013,Deep Sea,70,Original,Final,70,,70,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2013,Deep Sea,312,Original,Final,312,,312,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2013,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2014,Deep Sea,296,Original,Final,296,,296,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2014,Deep Sea,18,Original,Final,18,,18,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2014,Deep Sea,9,Original,Final,9,,9,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2014,Deep Sea,193,Original,Final,193,,193,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2014,Deep Sea,67,Original,Final,67,,67,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2014,Deep Sea,296,Original,Final,296,,296,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2014,Deep Sea,9,Original,Final,9,,9,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2015,Deep Sea,296,Original,Final,296,,296,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2015,Deep Sea,18,Original,Final,18,,18,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2015,Deep Sea,9,Original,Final,9,,9,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2015,Deep Sea,193,Original,Final,193,,193,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2015,Deep Sea,67,Original,Final,67,,67,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2015,Deep Sea,296,Original,Final,296,,296,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2015,Deep Sea,9,Original,Final,9,,9,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2016,Deep Sea,296,Original,Final,296,,296,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2016,Deep Sea,18,Original,Final,18,,18,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2016,Deep Sea,9,Original,Final,9,,9,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2016,Deep Sea,193,Original,Final,193,,193,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2016,Deep Sea,67,Original,Final,67,,67,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2016,Deep Sea,296,Original,Final,296,,296,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2016,Deep Sea,9,Original,Final,9,,9,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2017,Deep Sea,280,Original,Final,280,,280,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2017,Deep Sea,17,Original,Final,17,,17,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2017,Deep Sea,9,Original,Final,9,,9,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2017,Deep Sea,182,Original,Final,182,,182,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2017,Deep Sea,63,Original,Final,63,,63,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2017,Deep Sea,280,Original,Final,280,,280,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2017,Deep Sea,9,Original,Final,9,,9,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2018,Deep Sea,280,Original,Final,280,,280,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2018,Deep Sea,280,Original,Final,280,,280,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2018,Deep Sea,17,Original,Final,17,,17,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2018,Deep Sea,9,Original,Final,9,,9,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2018,Deep Sea,182,Original,Final,182,,182,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2018,Deep Sea,63,Original,Final,63,,63,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2018,Deep Sea,9,Original,Final,9,,9,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2019,Deep Sea,15,Original,Final,15,,15,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2019,Deep Sea,8,Original,Final,8,,8,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2019,Deep Sea,164,Original,Final,164,,164,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2019,Deep Sea,57,Original,Final,57,,57,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2019,Deep Sea,8,Original,Final,8,,8,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2019,Deep Sea,252,Original,Final,252,,252,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2019,Deep Sea,252,Original,Final,252,,252,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2020,Deep Sea,252,Original,Final,252,,252,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2020,Deep Sea,15,Original,Final,15,,15,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2020,Deep Sea,8,Original,Final,8,,8,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2020,Deep Sea,164,Original,Final,164,,164,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2020,Deep Sea,57,Original,Final,57,,57,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2020,Deep Sea,252,Original,Final,252,,252,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2020,Deep Sea,8,Original,Final,8,,8,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2021,Deep Sea,217,Original,Final,217,,217,,"June written record for TAC, UK TAC and EU TAC; 2020 intra-EU shares"
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2021,Deep Sea,14,Original,Final,14,,14,,"June written record for TAC, UK TAC and EU TAC; 2020 intra-EU shares"
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2021,Deep Sea,7,Original,Final,7,,7,,"June written record for TAC, UK TAC and EU TAC; 2020 intra-EU shares"
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2021,Deep Sea,145,Original,Final,145,,145,,"June written record for TAC, UK TAC and EU TAC; 2020 intra-EU shares"
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2021,Deep Sea,51,Original,Final,51,,51,,"June written record for TAC, UK TAC and EU TAC; 2020 intra-EU shares"
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2021,Deep Sea,224,Original,Final,224,,224,,"June written record for TAC, UK TAC and EU TAC; 2020 intra-EU shares"
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2021,Deep Sea,7,Original,Final,7,,7,,"June written record for TAC, UK TAC and EU TAC; 2020 intra-EU shares"
ANE/08.,Anchovy,8,EU,2001,Atlantic,"33,000",Original,Final,"33,000",,"33,000",Name changed to EU for time series,
ANE/08.,Anchovy,8,France,2001,Atlantic,"3,300",Original,Final,"3,300",,"3,300",,
ANE/08.,Anchovy,8,Spain,2001,Atlantic,"29,700",Original,Final,"29,700",,"29,700",,
ANE/08.,Anchovy,8,TAC,2001,Atlantic,"33,000",Original,Final,"33,000",,"33,000",,
ANE/08.,Anchovy,8,EU,2002,Atlantic,"33,000",Original,Final,"33,000",,"33,000",Name changed to EU for time series,
ANE/08.,Anchovy,8,France,2002,Atlantic,"3,300",Original,Final,"3,300",,"3,300",,
ANE/08.,Anchovy,8,Spain,2002,Atlantic,"29,700",Original,Final,"29,700",,"29,700",,
ANE/08.,Anchovy,8,TAC,2002,Atlantic,"33,000",Original,Final,"33,000",,"33,000",,
ANE/08.,Anchovy,8,EU,2003,Atlantic,"33,000",Original,Final,"33,000",,"33,000",Name changed to EU for time series,
ANE/08.,Anchovy,8,France,2003,Atlantic,"3,300",Original,Final,"3,300",,"3,300",,
ANE/08.,Anchovy,8,Spain,2003,Atlantic,"29,700",Original,Final,"29,700",,"29,700",,
ANE/08.,Anchovy,8,TAC,2003,Atlantic,"33,000",Original,Final,"33,000",,"33,000",,
ANE/08.,Anchovy,8,EU,2004,Atlantic,"33,000",Original,Final,"33,000",,"33,000",,
ANE/08.,Anchovy,8,France,2004,Atlantic,"3,300",Original,Final,"3,300",,"3,300",,
ANE/08.,Anchovy,8,Spain,2004,Atlantic,"29,700",Original,Final,"29,700",,"29,700",,
ANE/08.,Anchovy,8,TAC,2004,Atlantic,"33,000",Original,Final,"33,000",,"33,000",,
ANE/08.,Anchovy,8,EU,2005,Atlantic,"30,000",Original,Final,"30,000",,"30,000",,
ANE/08.,Anchovy,8,France,2005,Atlantic,"3,000",Original,Final,"3,000",,"3,000",,
ANE/08.,Anchovy,8,Spain,2005,Atlantic,"27,000",Original,Final,"27,000",,"27,000",,
ANE/08.,Anchovy,8,TAC,2005,Atlantic,"30,000",Original,Final,"30,000",,"30,000",,
ANE/08.,Anchovy,8,EU,2006,Atlantic,"5,000",Original,Final,"5,000",,"5,000",,
ANE/08.,Anchovy,8,France,2006,Atlantic,500,Original,Final,500,,500,,
ANE/08.,Anchovy,8,Spain,2006,Atlantic,"4,500",Original,Final,"4,500",,"4,500",,
ANE/08.,Anchovy,8,TAC,2006,Atlantic,"5,000",Original,Final,"5,000",,"5,000",,
ANE/08.,Anchovy,8,EU,2007,Atlantic,0,Original,Final,0,,0,,
ANE/08.,Anchovy,8,France,2007,Atlantic,0,Original,Final,0,,0,,
ANE/08.,Anchovy,8,Spain,2007,Atlantic,0,Original,Final,0,,0,,
ANE/08.,Anchovy,8,TAC,2007,Atlantic,0,Original,Final,0,,0,,
ANE/08.,Anchovy,8,EU,2008,Atlantic,0,Original,Final,0,,0,,
ANE/08.,Anchovy,8,France,2008,Atlantic,0,Original,Final,0,,0,,
ANE/08.,Anchovy,8,Spain,2008,Atlantic,0,Original,Final,0,,0,,
ANE/08.,Anchovy,8,TAC,2008,Atlantic,0,Original,Final,0,,0,,
ANE/08.,Anchovy,8,EU,2009,Atlantic,0,Original,Final,0,,0,,
ANE/08.,Anchovy,8,France,2009,Atlantic,0,Original,Final,0,,0,,
ANE/08.,Anchovy,8,Spain,2009,Atlantic,0,Original,Final,0,,0,,
ANE/08.,Anchovy,8,TAC,2009,Atlantic,0,Original,Final,0,,0,,
ANE/08.,Anchovy,8,EU,2010,Atlantic,"7,000",Original,Final,"7,000",,"7,000",,
ANE/08.,Anchovy,8,France,2010,Atlantic,700,Original,Final,700,,700,,
ANE/08.,Anchovy,8,Spain,2010,Atlantic,"6,300",Original,Final,"6,300",,"6,300",,
ANE/08.,Anchovy,8,TAC,2010,Atlantic,"7,000",Original,Final,"7,000",,"7,000",,
ANE/08.,Anchovy,8,EU,2011,Atlantic,"15,600",Original,Final,"15,600",,"15,600",,
ANE/08.,Anchovy,8,France,2011,Atlantic,"1,560",Original,Final,"1,560",,"1,560",,
ANE/08.,Anchovy,8,Spain,2011,Atlantic,"14,040",Original,Final,"14,040",,"14,040",,
ANE/08.,Anchovy,8,TAC,2011,Atlantic,"15,600",Original,Final,"15,600",,"15,600",,
ANE/08.,Anchovy,8,EU,2012,Atlantic,"29,700",Original,Final,"29,700",,"29,700",,
ANE/08.,Anchovy,8,France,2012,Atlantic,"2,970",Original,Final,"2,970",,"2,970",,
ANE/08.,Anchovy,8,Spain,2012,Atlantic,"26,730",Original,Final,"26,730",,"26,730",,
ANE/08.,Anchovy,8,TAC,2012,Atlantic,"29,700",Original,Final,"29,700",,"29,700",,
